0.005,62.8
0.01,60.4
0.015,60.5
0.02,61.8
0.025,61.9
0.03,62.1
0.035,61.6
0.04,61.1
0.045,60.6
0.05,61.6
0.055,60.4
0.06,60.9
0.065,61.3
0.07,61.2
0.075,60.6
0.08,61.8
0.085,69.1
0.09,61.2
0.095,68.5
0.1,65.8
0.105,65.0
0.11,68.4
0.115,68.1
0.12,71.0
0.125,66.3
0.13,66.5
0.135,67.9
0.14,67.5
0.145,70.3
0.15,68.5
0.155,67.3
0.16,66.9
0.165,61.0
0.17,61.1
0.175,61.4
0.18,60.4
0.185,61.7
0.19,62.9
0.195,66.4
0.2,62.1
0.205,65.8
0.21,65.9
0.215,65.6
0.22,61.5
0.225,61.7
0.23,61.8
0.235,65.2
0.24,61.1
0.245,62.1
0.25,65.5
