0.005,75.7
0.01,71.0
0.015,71.2
0.02,68.4
0.025,66.3
0.03,63.6
0.035,67.1
0.04,67.5
0.045,66.7
0.05,65.0
0.055,61.0
0.06,62.3
0.065,66.3
0.07,62.0
0.075,66.1
0.08,61.9
0.085,63.8
0.09,63.8
0.095,61.7
0.1,68.2
0.105,71.0
0.11,73.3
0.115,72.1
0.12,67.1
0.125,64.0
0.13,62.2
0.135,64.8
0.14,70.9
0.145,60.9
0.15,60.1
0.155,61.7
0.16,66.5
0.165,64.9
0.17,60.0
0.175,61.0
0.18,60.0
0.185,61.6
0.19,60.2
0.195,59.8
0.2,59.9
0.205,60.7
0.21,60.5
0.215,59.9
0.22,61.2
0.225,59.9
0.23,63.6
0.235,60.2
0.24,61.7
0.245,67.0
0.25,72.1
