0.005,67.5
0.01,65.4
0.015,67.4
0.02,67.1
0.025,64.1
0.03,64.8
0.035,70.9
0.04,63.3
0.045,65.5
0.05,61.9
0.055,61.6
0.06,61.4
0.065,62.5
0.07,66.1
0.075,62.4
0.08,61.5
0.085,60.7
0.09,62.4
0.095,63.0
0.1,64.7
0.105,63.4
0.11,64.2
0.115,64.2
0.12,61.4
0.125,65.2
0.13,65.3
0.135,63.3
0.14,61.7
0.145,60.6
0.15,65.4
0.155,65.1
0.16,65.4
0.165,62.5
0.17,65.5
0.175,65.7
0.18,66.6
0.185,64.5
0.19,71.0
0.195,69.0
0.2,65.2
0.205,65.7
0.21,61.0
0.215,64.4
0.22,60.8
0.225,60.3
0.23,60.9
0.235,61.1
0.24,60.6
0.245,66.0
0.25,74.7
