0.005,66.1
0.01,68.2
0.015,61.2
0.02,66.9
0.025,65.6
0.03,62.7
0.035,60.7
0.04,61.1
0.045,62.4
0.05,66.4
0.055,61.5
0.06,60.8
0.065,61.7
0.07,65.0
0.075,69.7
0.08,63.5
0.085,70.7
0.09,67.4
0.095,69.0
0.1,66.4
0.105,68.6
0.11,60.9
0.115,60.6
0.12,60.4
0.125,60.5
0.13,60.2
0.135,60.3
0.14,61.8
0.145,60.7
0.15,60.6
0.155,61.9
0.16,62.0
0.165,60.6
0.17,60.6
0.175,62.8
0.18,65.6
0.185,66.8
0.19,62.6
0.195,73.8
0.2,73.3
0.205,66.0
0.21,65.1
0.215,66.1
0.22,62.4
0.225,66.3
0.23,63.1
0.235,70.4
0.24,65.5
0.245,70.0
0.25,66.1
