0.005,68.1
0.01,66.5
0.015,61.5
0.02,64.8
0.025,69.1
0.03,63.1
0.035,63.8
0.04,62.2
0.045,63.5
0.05,61.1
0.055,62.6
0.06,60.9
0.065,61.1
0.07,63.9
0.075,61.7
0.08,62.5
0.085,60.4
0.09,61.3
0.095,66.1
0.1,64.8
0.105,61.1
0.11,65.5
0.115,61.5
0.12,60.2
0.125,61.0
0.13,62.2
0.135,63.4
0.14,66.1
0.145,63.2
0.15,61.6
0.155,59.9
0.16,62.5
0.165,60.1
0.17,61.2
0.175,60.8
0.18,60.8
0.185,60.2
0.19,60.7
0.195,63.2
0.2,61.5
0.205,60.9
0.21,59.3
0.215,59.9
0.22,62.3
0.225,61.2
0.23,59.9
0.235,60.6
0.24,60.7
0.245,60.6
0.25,60.7
