0.005,70.1
0.01,67.6
0.015,64.8
0.02,67.5
0.025,63.4
0.03,70.2
0.035,68.0
0.04,66.1
0.045,65.1
0.05,60.2
0.055,64.1
0.06,65.1
0.065,62.6
0.07,61.6
0.075,64.9
0.08,64.4
0.085,64.2
0.09,61.2
0.095,63.1
0.1,62.4
0.105,69.1
0.11,61.2
0.115,62.4
0.12,67.3
0.125,60.1
0.13,60.1
0.135,61.0
0.14,68.5
0.145,60.7
0.15,60.2
0.155,59.9
0.16,64.8
0.165,73.8
0.17,70.8
0.175,66.1
0.18,61.5
0.185,61.3
0.19,69.4
0.195,66.3
0.2,62.3
0.205,64.8
0.21,60.1
0.215,60.9
0.22,67.5
0.225,68.4
0.23,70.3
0.235,69.2
0.24,64.5
0.245,60.3
0.25,64.2
